iter	RMSE
0	100.2884908
1	96.65823802
2	93.42564136
3	89.7184738
4	85.93463595
5	82.30571617
6	79.23428484
7	76.01596686
8	73.2260046
9	70.3131255
10	67.6352358
11	65.0010889
12	62.78514168
13	60.43071989
14	58.25706194
15	56.26560626
16	54.52003681
17	52.84932646
18	51.265229
19	49.54974501
20	48.2049636
21	46.8160462
22	45.48808431
23	44.22723209
24	43.01000678
25	41.82801792
26	40.75946117
27	39.754475
28	38.77725062
29	37.86395312
30	37.06784772
31	36.2262955
32	35.47262582
33	34.72229526
34	33.93769672
35	33.27322135
36	32.7266315
37	32.09948124
38	31.53882159
39	30.97015454
40	30.44458677
41	29.96757044
42	29.47718254
43	29.12106409
44	28.69063738
45	28.31644447
46	28.02956614
47	27.63466865
48	27.29908902
49	27.02395418
50	26.69176613
51	26.38426842
52	26.05024842
53	25.78089108
54	25.48416363
55	25.1977115
56	24.90996869
57	24.782651
58	24.60220709
59	24.38533389
60	24.22695024
61	24.02882083
62	23.80505934
63	23.64913481
64	23.4545997
65	23.26329588
66	23.15056299
67	22.96905083
68	22.83773173
69	22.62994219
70	22.49363635
71	22.33387509
72	22.15588206
73	22.0064501
74	21.89276645
75	21.73601127
76	21.5194389
77	21.35192803
78	21.22484985
79	21.19875272
80	21.07657604
81	20.96490856
82	20.85701765
83	20.70726181
84	20.57487246
85	20.50217587
86	20.40885563
87	20.30479784
88	20.23463386
89	20.12228231
90	19.94406029
91	19.76874912
92	19.66548956
93	19.5659498
94	19.44754012
95	19.34442083
96	19.23655274
97	19.14027297
98	19.07210405
99	18.96290339
100	18.88207267
101	18.77868603
102	18.72359792
103	18.67052233
104	18.6254858
105	18.56215059
106	18.50508744
107	18.4332604
108	18.39560796
109	18.32887445
110	18.29263207
111	18.22285706
112	18.13524164
113	18.05711745
114	17.95956195
115	17.90843154
116	17.85664163
117	17.81572776
118	17.75552751
119	17.69486502
120	17.60952373
121	17.47975186
122	17.37381735
123	17.25315095
124	17.19277069
125	17.12390375
126	17.05753886
127	16.99316586
128	16.94088391
129	16.82550916
130	16.74762762
131	16.72811712
132	16.66906542
133	16.60543418
134	16.54900875
135	16.50366413
136	16.46900732
137	16.4067579
138	16.30597527
139	16.27723072
140	16.23368274
141	16.16448475
142	16.11193878
143	16.07415906
144	16.01465293
145	15.94085628
146	15.86951497
147	15.8487029
148	15.81469162
149	15.80319724
150	15.73986952
151	15.71003122
152	15.66197041
153	15.58583464
154	15.56762711
155	15.54688938
156	15.48034507
157	15.40850702
158	15.3674717
159	15.35980994
160	15.31818367
161	15.18891415
162	15.13558929
163	15.11459566
164	15.02755985
165	14.97036446
166	14.95905838
167	14.8755848
168	14.80649609
169	14.7958072
170	14.73158813
171	14.66234624
172	14.62355752
173	14.57718881
174	14.50726764
175	14.45031839
176	14.39993558
177	14.38036231
178	14.36427637
179	14.30465225
180	14.29879278
181	14.25768664
182	14.2003583
183	14.12681356
184	14.08218025
185	14.05164948
186	13.96943695
187	13.96190614
188	13.90775274
189	13.81354429
190	13.77662385
191	13.77001907
192	13.71724661
193	13.7122831
194	13.68327024
195	13.62382181
196	13.61441055
197	13.53721623
198	13.46511395
199	13.40931279
200	13.4035592
201	13.31728613
202	13.31121233
203	13.27299241
204	13.24204313
205	13.20955348
206	13.13949208
207	13.08162399
208	13.07154598
209	13.01110414
210	13.00174137
211	12.99673357
212	12.99184957
213	12.91947643
214	12.91713299
215	12.91253301
216	12.87331722
217	12.87048253
218	12.86538753
219	12.861241
220	12.7860551
221	12.74388775
222	12.72351675
223	12.68910172
224	12.63961625
225	12.59575585
226	12.54085195
227	12.4923142
228	12.44118627
229	12.40048531
230	12.36083888
231	12.31136814
232	12.25276404
233	12.23435459
234	12.17664042
235	12.16771833
236	12.10810169
237	12.09418065
238	12.06326466
239	12.03465266
240	11.98923291
241	11.94950913
242	11.93266643
243	11.91289793
244	11.82244836
245	11.77663128
246	11.75127421
247	11.71299244
248	11.67196924
249	11.64514232
250	11.59717697
251	11.56306765
252	11.51338761
253	11.47755547
254	11.44875731
255	11.41626347
256	11.37333374
257	11.33851081
258	11.30099405
259	11.2610185
