iter	RMSE
0	101.3870465
1	96.9474502
2	92.85010773
3	89.01905769
4	85.8544715
5	82.29899069
6	79.19383459
7	76.17392035
8	73.64076562
9	70.7287328
10	68.10032181
11	65.57708366
12	63.27312935
13	61.03397637
14	58.97640348
15	56.91852546
16	54.9699419
17	52.9820409
18	51.19065624
19	49.71812421
20	48.11801345
21	46.55673061
22	45.24120734
23	43.90153047
24	42.70630705
25	41.52946485
26	40.38974534
27	39.4323205
28	38.4432088
29	37.48011333
30	36.61729161
31	35.8732729
32	35.10677422
33	34.43077979
34	33.74265529
35	33.13976378
36	32.5523695
37	31.97413321
38	31.45911005
39	30.95264708
40	30.47157036
41	29.97937406
42	29.56982996
43	29.12489335
44	28.70926156
45	28.34794024
46	27.98567803
47	27.66597283
48	27.36353736
49	27.01355366
50	26.79293812
51	26.50178034
52	26.23665691
53	25.95869776
54	25.75125022
55	25.56327791
56	25.3850501
57	25.15013152
58	24.90475415
59	24.72075221
60	24.49249689
61	24.3684246
62	24.1485421
63	23.9422943
64	23.75858785
65	23.67616941
66	23.48577205
67	23.29845171
68	23.130168
69	22.95985123
70	22.81349759
71	22.63814093
72	22.51499107
73	22.34805596
74	22.16670064
75	21.97956197
76	21.83029407
77	21.79542554
78	21.61851029
79	21.43680075
80	21.32454033
81	21.15962483
82	21.0006247
83	20.87588559
84	20.73631357
85	20.62865405
86	20.4748425
87	20.31345252
88	20.18031782
89	19.99488781
90	19.88265986
91	19.74250212
92	19.60952778
93	19.59565312
94	19.46248729
95	19.3137075
96	19.23984611
97	19.13794619
98	19.03372734
99	18.94636384
100	18.83023591
101	18.74313133
102	18.64921426
103	18.55095595
104	18.47072986
105	18.38649036
106	18.3211237
107	18.20926095
108	18.12680657
109	18.01503037
110	17.95212442
111	17.86661384
112	17.80649254
113	17.7528977
114	17.66760763
115	17.60361458
116	17.48487061
117	17.43499077
118	17.31749152
119	17.25878393
120	17.17993559
121	17.13389742
122	17.04530593
123	16.95575115
124	16.89986216
125	16.82624269
126	16.76924361
127	16.72228502
128	16.68188016
129	16.62782751
130	16.57624513
131	16.50998613
132	16.44765985
133	16.40593796
134	16.34768918
135	16.25213103
136	16.20608437
137	16.1524776
138	16.09069194
139	16.02299031
140	15.92668007
141	15.90490669
142	15.83910624
143	15.72434433
144	15.66168345
145	15.60815685
146	15.55277951
147	15.50223868
148	15.38568756
149	15.34226779
150	15.27280525
151	15.22219387
152	15.17925547
153	15.09535136
154	15.04162562
155	14.9607659
156	14.88846614
157	14.8248126
158	14.75699749
159	14.69832904
160	14.63232128
161	14.58445279
162	14.52429639
163	14.48397357
164	14.42307642
165	14.36981818
166	14.32861999
167	14.25760476
168	14.20012816
169	14.15228188
170	14.09979945
171	14.04109017
172	14.00454046
173	13.92165814
174	13.8566923
175	13.8087716
176	13.73355921
177	13.66626643
178	13.59774531
179	13.53623802
180	13.46035615
181	13.40817466
182	13.37532722
183	13.33095241
184	13.30156642
185	13.25218483
186	13.23055763
187	13.21204625
188	13.17327272
189	13.1286649
190	13.10659691
191	13.08509034
192	13.06784326
193	13.01699869
194	12.98992722
195	12.93782138
196	12.86011352
197	12.78555221
198	12.74370843
199	12.71411169
200	12.65857086
201	12.60823648
202	12.50513033
203	12.47675967
204	12.43207554
205	12.40453413
206	12.37619452
207	12.34915615
208	12.32773971
209	12.28466466
210	12.19918453
211	12.13675964
212	12.07711989
213	12.01681933
214	12.00315498
215	11.96623022
216	11.95727578
217	11.9222399
218	11.88229027
219	11.83162512
220	11.79223273
221	11.77430055
222	11.73470248
223	11.67955379
224	11.64877256
225	11.60731678
226	11.59090763
227	11.55270004
228	11.51745427
229	11.49089913
230	11.42946372
231	11.41672465
232	11.37528262
233	11.34971414
234	11.31373982
