iter	Passed	Remaining
0	64	51203
1	76	30424
2	113	30090
3	199	39653
4	283	45127
5	330	43739
6	419	47482
7	508	50299
8	592	52044
9	662	52324
10	745	53491
11	847	55639
12	932	56462
13	1013	56890
14	1093	57205
15	1187	58168
16	1360	62677
17	1438	62493
18	1487	61146
19	1569	61191
20	1625	60309
21	1696	60011
22	1762	59551
23	1832	59248
24	1903	59016
25	1987	59165
26	2058	58939
27	2149	59251
28	2205	58632
29	2233	57316
30	2268	56263
31	2348	56358
32	2432	56528
33	2522	56822
34	2602	56875
35	2684	56970
36	2698	55644
37	2773	55608
38	2796	54570
39	2876	54644
40	2957	54740
41	3037	54822
42	3062	53907
43	3142	53990
44	3222	54065
45	3313	54307
46	3401	54501
47	3447	54005
48	3496	53585
49	3580	53713
50	3618	53141
51	3700	53225
52	3782	53305
53	3862	53366
54	3929	53225
55	3985	52945
56	4020	52412
57	4103	52500
58	4188	52598
59	4283	52833
60	4365	52891
61	4414	52550
62	4507	52727
63	4592	52811
64	4682	52947
65	4714	52427
66	4794	52457
67	4882	52554
68	4966	52620
69	5057	52740
70	5150	52886
71	5238	52971
72	5352	53309
73	5451	53479
74	5535	53513
75	5624	53579
76	5724	53752
77	5740	53136
78	5833	53236
79	5928	53358
80	6001	53276
81	6105	53463
82	6207	53620
83	6304	53740
84	6403	53868
85	6501	53976
86	6590	54014
87	6684	54085
88	6780	54165
89	6875	54242
90	6972	54325
91	7067	54390
92	7166	54483
93	7192	54018
94	7287	54084
95	7379	54113
96	7449	53989
97	7546	54059
98	7642	54114
99	7735	54150
100	7831	54198
101	7931	54274
102	8025	54308
103	8123	54366
104	8214	54374
105	8320	54478
106	8412	54485
107	8509	54523
108	8599	54515
109	8696	54553
110	8792	54576
111	8894	54639
112	8988	54647
113	9083	54658
114	9180	54683
115	9283	54742
116	9379	54754
117	9472	54746
118	9566	54745
119	9652	54699
120	9743	54673
121	9836	54664
122	9928	54649
123	10018	54616
124	10117	54634
125	10215	54647
126	10314	54656
127	10408	54646
128	10515	54698
129	10610	54684
130	10698	54634
131	10793	54621
132	10891	54622
133	10982	54585
134	11077	54568
135	11167	54521
136	11261	54499
137	11357	54484
138	11454	54468
139	11550	54450
140	11643	54418
141	11744	54421
142	11840	54397
143	11930	54348
144	12016	54282
145	12103	54218
146	12182	54115
147	12261	54014
148	12344	53934
149	12427	53852
150	12512	53779
151	12590	53677
152	12667	53568
153	12749	53483
154	12839	53429
155	12928	53370
156	13014	53302
157	13098	53221
158	13212	53265
159	13366	53464
160	13529	53696
161	13621	53643
162	13707	53569
163	13794	53495
164	13879	53415
165	13965	53338
166	14051	53262
167	14143	53206
168	14228	53126
169	14316	53053
170	14401	52975
171	14490	52905
172	14571	52811
173	14655	52726
174	14735	52625
175	14815	52528
176	14898	52440
177	14985	52364
178	15068	52277
179	15151	52189
180	15235	52105
181	15320	52022
182	15406	51943
183	15492	51865
184	15575	51777
185	15657	51688
186	15751	51634
187	15837	51556
188	15924	51479
189	16001	51372
190	16087	51294
191	16169	51204
192	16252	51114
193	16442	51360
194	16547	51340
195	16640	51279
196	16729	51206
197	16814	51122
198	16907	51063
199	16993	50981
200	17078	50894
201	17160	50802
202	17242	50708
203	17328	50626
204	17412	50537
205	17493	50442
206	17573	50343
207	17658	50258
208	17743	50174
209	17826	50083
210	17909	49993
211	17992	49903
212	18072	49805
213	18157	49721
214	18249	49655
215	18333	49569
216	18423	49496
217	18518	49439
218	18599	49343
219	18680	49249
220	18760	49151
221	18842	49058
222	18927	48973
223	19006	48874
224	19094	48796
225	19181	48716
226	19262	48623
227	19348	48540
228	19432	48454
229	19514	48362
230	19600	48279
231	19702	48237
232	19790	48160
233	19874	48073
234	19957	47983
235	20034	47877
236	20117	47790
237	20202	47705
238	20290	47628
239	20372	47536
240	20453	47443
241	20539	47359
242	20617	47258
243	20701	47171
244	20784	47082
245	20864	46988
246	20953	46911
247	21037	46825
248	21123	46742
249	21208	46657
250	21299	46588
251	21388	46510
252	21468	46415
253	21547	46319
254	21627	46222
255	21714	46142
256	21801	46062
257	21886	45978
258	21964	45878
259	22057	45810
260	22132	45707
261	22216	45620
262	22301	45536
263	22400	45480
264	22492	45409
265	22578	45325
266	22662	45240
267	22745	45152
268	22828	45063
269	22917	44985
270	23011	44918
271	23092	44826
272	23165	44718
273	23246	44626
274	23333	44545
275	23415	44455
276	23493	44358
277	23575	44268
278	23662	44187
279	23753	44113
280	23835	44024
281	23920	43939
282	24001	43847
283	24064	43722
284	24150	43640
285	24235	43556
286	24318	43468
287	24380	43342
288	24462	43253
289	24558	43188
290	24644	43106
291	24726	43018
292	24812	42935
293	24903	42861
294	24988	42777
295	25072	42690
296	25157	42606
297	25243	42524
298	25330	42444
299	25412	42353
300	25488	42254
301	25571	42167
302	25654	42080
303	25738	41994
304	25824	41912
305	25904	41819
306	25991	41737
307	26082	41664
308	26177	41595
309	26264	41515
310	26347	41427
311	26429	41338
312	26489	41214
313	26576	41133
314	26662	41052
315	26748	40969
316	26837	40891
317	26922	40807
318	27004	40718
319	27091	40637
320	27177	40555
321	27263	40472
322	27357	40401
323	27441	40314
324	27529	40235
325	27612	40148
326	27703	40072
327	27803	40009
328	27900	39942
329	27988	39863
330	28070	39773
331	28159	39694
332	28238	39601
333	28323	39516
334	28404	39427
335	28485	39337
336	28569	39251
337	28649	39160
338	28730	39069
339	28817	38988
340	28902	38903
341	28993	38827
342	29079	38744
343	29165	38661
344	29256	38584
345	29343	38503
346	29424	38413
347	29513	38333
348	29599	38249
349	29691	38174
350	29786	38103
351	29924	38085
352	30048	38050
353	30142	37976
354	30224	37887
355	30306	37798
356	30392	37714
357	30477	37628
358	30568	37550
359	30651	37463
360	30748	37391
361	30841	37316
362	30939	37246
363	31036	37175
364	31119	37087
365	31209	37008
366	31303	36933
367	31391	36850
368	31476	36765
369	31573	36693
370	31670	36621
371	31763	36545
372	31855	36467
373	31954	36397
374	32043	36315
375	32123	36224
376	32211	36142
377	32302	36063
378	32399	35989
379	32477	35895
380	32561	35808
381	32636	35712
382	32734	35639
383	32832	35568
384	32918	35483
385	33009	35403
386	33090	35314
387	33179	35231
388	33281	35163
389	33380	35091
390	33463	35004
391	33547	34916
392	33630	34828
393	33709	34736
394	33802	34658
395	33847	34531
396	33933	34446
397	34012	34354
398	34091	34262
399	34210	34210
400	34307	34136
401	34410	34068
402	34504	33990
403	34602	33917
404	34702	33845
405	34787	33759
406	34835	33637
407	34932	33562
408	35033	33491
409	35114	33401
410	35212	33327
411	35308	33251
412	35395	33166
413	35472	33073
414	35553	32983
415	35653	32911
416	35746	32831
417	35840	32753
418	35926	32668
419	36011	32581
420	36102	32500
421	36184	32412
422	36267	32323
423	36352	32236
424	36439	32152
425	36521	32063
426	36610	31980
427	36693	31892
428	36777	31805
429	36855	31713
430	36938	31625
431	37024	31539
432	37105	31449
433	37188	31361
434	37276	31277
435	37366	31196
436	37452	31110
437	37534	31021
438	37614	30931
439	37701	30846
440	37786	30760
441	37869	30672
442	37951	30583
443	38029	30491
444	38112	30404
445	38195	30316
446	38273	30225
447	38356	30137
448	38436	30047
449	38519	29959
450	38611	29879
451	38699	29794
452	38784	29708
453	38868	29622
454	38955	29537
455	39045	29455
456	39127	29367
457	39215	29282
458	39301	29198
459	39384	29109
460	39462	29019
461	39569	28949
462	39675	28878
463	39774	28802
464	39855	28713
465	39941	28627
466	40033	28546
467	40128	28467
468	40228	28391
469	40313	28305
470	40397	28218
471	40481	28131
472	40569	28047
473	40654	27960
474	40736	27872
475	40817	27783
476	40900	27696
477	40986	27610
478	41069	27522
479	41145	27430
480	41234	27346
481	41316	27258
482	41401	27172
483	41495	27091
484	41582	27007
485	41672	26924
486	41760	26839
487	41845	26753
488	41923	26663
489	42004	26574
490	42087	26487
491	42170	26399
492	42262	26317
493	42340	26226
494	42421	26138
495	42501	26049
496	42586	25963
497	42679	25881
498	42772	25800
499	42856	25714
500	42941	25627
501	43030	25544
502	43113	25456
503	43194	25368
504	43288	25287
505	43374	25201
506	43466	25119
507	43551	25033
508	43631	24944
509	43715	24857
510	43799	24770
511	43887	24686
512	43975	24602
513	44066	24519
514	44154	24434
515	44245	24352
516	44340	24271
517	44423	24184
518	44507	24097
519	44596	24013
520	44682	23927
521	44768	23842
522	44851	23754
523	44933	23667
524	45017	23580
525	45104	23495
526	45188	23408
527	45282	23327
528	45419	23267
529	45534	23196
530	45629	23115
531	45715	23029
532	45799	22942
533	45898	22863
534	45988	22779
535	46079	22695
536	46167	22610
537	46264	22530
538	46350	22444
539	46443	22361
540	46532	22277
541	46632	22197
542	46719	22112
543	46809	22027
544	46891	21939
545	46977	21853
546	47061	21766
547	47144	21679
548	47225	21591
549	47307	21503
550	47389	21415
551	47477	21330
552	47561	21243
553	47648	21157
554	47727	21068
555	47810	20981
556	47897	20896
557	47978	20807
558	48064	20721
559	48148	20635
560	48236	20549
561	48323	20464
562	48412	20379
563	48497	20293
564	48584	20207
565	48669	20121
566	48752	20034
567	48835	19946
568	48916	19858
569	48997	19770
570	49085	19685
571	49170	19599
572	49264	19516
573	49377	19441
574	49470	19357
575	49558	19272
576	49643	19186
577	49726	19099
578	49808	19011
579	49894	18925
580	49978	18838
581	50062	18751
582	50146	18665
583	50236	18580
584	50318	18493
585	50409	18408
586	50532	18336
587	50674	18270
588	50801	18198
589	50930	18127
590	51056	18055
591	51199	17989
592	51336	17920
593	51470	17849
