iter	Passed	Remaining
0	91	72798
1	110	43890
2	172	45769
3	203	40477
4	286	45566
5	379	50267
6	438	49643
7	472	46802
8	596	52445
9	620	49032
10	707	50763
11	805	52878
12	897	54315
13	990	55636
14	1091	57096
15	1187	58186
16	1270	58517
17	1353	58793
18	1458	59952
19	1579	61607
20	1597	59249
21	1647	58245
22	1766	59670
23	1782	57624
24	1851	57408
25	1964	58488
26	2074	59391
27	2145	59141
28	2221	59051
29	2260	58009
30	2292	56872
31	2410	57861
32	2516	58497
33	2531	57024
34	2544	55606
35	2652	56281
36	2755	56825
37	2866	57481
38	2988	58308
39	3002	57048
40	3106	57504
41	3216	58042
42	3353	59038
43	3418	58744
44	3521	59084
45	3648	59810
46	3756	60187
47	3869	60615
48	3978	60980
49	4106	61592
50	4153	60998
51	4327	62245
52	4477	63110
53	4634	64021
54	4790	64884
55	5028	66810
56	5191	67676
57	5357	68543
58	5541	69602
59	5711	70436
60	5854	70921
61	6025	71727
62	6142	71853
63	6269	72102
64	6384	72197
65	6559	72948
66	6606	72278
67	6769	72873
68	6916	73278
69	7085	73894
70	7236	74302
71	7382	74643
72	7435	74045
73	7579	74361
74	7712	74555
75	7847	74754
76	7881	74005
77	8004	74093
78	8117	74087
79	8248	74236
80	8298	73659
81	8435	73866
82	8564	73987
83	8692	74092
84	8838	74349
85	8972	74492
86	9099	74570
87	9220	74600
88	9348	74686
89	9464	74664
90	9580	74641
91	9703	74676
92	9751	74130
93	9875	74172
94	10003	74237
95	10132	74301
96	10308	74707
97	10492	75163
98	10652	75427
99	10789	75524
100	10928	75636
101	11062	75701
102	11184	75684
103	11310	75690
104	11449	75786
105	11586	75860
106	11721	75918
107	11859	75987
108	11996	76052
109	12125	76061
110	12265	76132
111	12393	76133
112	12524	76145
113	12652	76139
114	12792	76200
115	12925	76218
116	13068	76290
117	13187	76221
118	13308	76160
119	13420	76051
120	13546	76015
121	13660	75915
122	13765	75768
123	13893	75740
124	14002	75616
125	14137	75625
126	14277	75660
127	14413	75671
128	14521	75535
129	14699	75761
130	14865	75916
131	15028	76051
132	15155	76005
133	15286	75976
134	15406	75890
135	15502	75689
136	15592	75457
137	15714	75386
138	15871	75477
139	16014	75498
140	16114	75315
141	16206	75096
142	16290	74845
143	16378	74614
144	16469	74397
145	16554	74153
146	16641	73926
147	16756	73818
148	16869	73705
149	17006	73695
150	17128	73620
151	17259	73579
152	17362	73421
153	17461	73245
154	17557	73062
155	17667	72933
156	17776	72803
157	17895	72712
158	18014	72623
159	18114	72457
160	18225	72337
161	18341	72232
162	18465	72162
163	18561	71982
164	18649	71770
165	18747	71603
166	18866	71511
167	18976	71386
168	19078	71234
169	19177	71069
170	19288	70951
171	19386	70783
172	19480	70603
173	19589	70477
174	19699	70354
175	19817	70263
176	19948	70215
177	20178	70511
178	20341	70570
179	20493	70588
180	20678	70717
181	20839	70763
182	20992	70776
183	21173	70883
184	21319	70873
185	21455	70825
186	21589	70773
187	21734	70752
188	21873	70711
189	22013	70673
190	22151	70631
191	22307	70641
192	22457	70630
193	22620	70661
194	22815	70785
195	23013	70918
196	23145	70845
197	23307	70863
198	23464	70864
199	23596	70788
200	23732	70726
201	23864	70649
202	23993	70563
203	24125	70485
204	24316	70576
205	24500	70647
206	24639	70586
207	24786	70546
208	24951	70555
209	25117	70566
210	25277	70560
211	25417	70497
212	25538	70379
213	25649	70236
214	25813	70236
215	25940	70135
216	26074	70052
217	26200	69946
218	26326	69844
219	26447	69724
220	26546	69550
221	26648	69381
222	26774	69278
223	26929	69248
224	27058	69149
225	27154	68966
226	27244	68770
227	27386	68706
228	27516	68611
229	27659	68547
230	27800	68478
231	27926	68372
232	28065	68296
233	28171	68141
234	28259	67942
235	28350	67753
236	28443	67567
237	28527	67363
238	28627	67197
239	28716	67004
240	28808	66822
241	28908	66657
242	29024	66530
243	29157	66441
244	29299	66372
245	29420	66256
246	29507	66062
247	29601	65886
248	29706	65735
249	29799	65558
250	29882	65360
251	29971	65175
252	30056	64983
253	30141	64792
254	30227	64604
255	30346	64486
256	30461	64359
257	30561	64202
258	30653	64028
259	30747	63860
260	30832	63673
261	30934	63522
262	31033	63364
263	31122	63188
264	31205	62999
265	31298	62831
266	31383	62648
267	31467	62464
268	31555	62290
269	31645	62118
270	31741	61959
271	31846	61820
272	31937	61651
273	32033	61495
274	32126	61331
275	32216	61164
276	32301	60988
277	32396	60831
278	32483	60659
279	32575	60497
