iter	RMSE
0	100.2737695
1	96.49823061
2	92.57652526
3	88.68234603
4	85.84386912
5	82.81107803
6	79.62477884
7	76.84735137
8	74.08167446
9	71.2316008
10	68.72649523
11	66.20357493
12	64.07592224
13	61.72751015
14	59.81536232
15	57.93220885
16	55.94662133
17	54.2419288
18	52.66191569
19	51.06617314
20	49.62552461
21	48.25544537
22	46.73866879
23	45.54594184
24	44.17217138
25	42.99835833
26	41.93759701
27	40.84235281
28	39.93486661
29	39.17178739
30	38.27578991
31	37.44503069
32	36.6383096
33	35.83211827
34	35.14033029
35	34.51826548
36	33.87916409
37	33.28214104
38	32.71662828
39	32.14522726
40	31.57948446
41	31.1121697
42	30.56333699
43	30.110751
44	29.6872069
45	29.19482639
46	28.78312132
47	28.40007085
48	28.05047704
49	27.70585967
50	27.31512124
51	26.94767233
52	26.57925795
53	26.26631837
54	25.9910255
55	25.67092688
56	25.41910389
57	25.14873227
58	24.93067317
59	24.70245614
60	24.43944962
61	24.31066874
62	24.11788348
63	23.9141755
64	23.73565237
65	23.52472794
66	23.28029123
67	23.05372086
68	22.8851412
69	22.68524311
70	22.56457405
71	22.41308244
72	22.21790779
73	22.07499802
74	21.87665797
75	21.80296769
76	21.68802477
77	21.48048985
78	21.36383532
79	21.21710749
80	21.07686619
81	20.94484777
82	20.81669207
83	20.69048052
84	20.54190377
85	20.40695208
86	20.26043819
87	20.17051253
88	20.05391312
89	19.91976888
90	19.79091426
91	19.69376961
92	19.58839989
93	19.49812544
94	19.37914029
95	19.31796595
96	19.24111443
97	19.1209044
98	19.01642996
99	18.93184769
100	18.86986365
101	18.73355631
102	18.67203402
103	18.54571538
104	18.43990289
105	18.35558298
106	18.29081531
107	18.16433453
108	18.03856123
109	17.90317842
110	17.81009308
111	17.7257603
112	17.6475888
113	17.57473163
114	17.49517683
115	17.39656226
116	17.31215171
117	17.22614953
118	17.1525166
119	17.09086431
120	17.02883873
121	16.96630388
122	16.89872377
123	16.80500444
124	16.71683842
125	16.65720838
126	16.55563156
127	16.49693448
128	16.41690939
129	16.3469235
130	16.27541937
131	16.21035282
132	16.15908121
133	16.10531633
134	16.02494615
135	15.93955132
136	15.88272071
137	15.82649894
138	15.7641433
139	15.65827267
140	15.5804867
141	15.53397024
142	15.47655469
143	15.40691883
144	15.33153736
145	15.25543784
146	15.20756351
147	15.14210323
148	15.08548464
149	15.01155225
150	14.97036445
151	14.89567959
152	14.84704838
153	14.81247304
154	14.77146222
155	14.72459272
156	14.61827925
157	14.58001685
158	14.54429378
159	14.50281092
160	14.4490374
161	14.38747126
162	14.33592871
163	14.2928297
164	14.20188133
165	14.11680884
166	14.08292179
167	14.06289027
168	14.02769436
169	13.95375022
170	13.92833737
171	13.88001077
172	13.81022264
173	13.77668881
174	13.72627822
175	13.70423648
176	13.66047372
177	13.6327355
178	13.6257066
179	13.58652274
180	13.54699197
181	13.50542452
182	13.4553613
183	13.43127804
184	13.406319
185	13.37266054
186	13.34365924
187	13.26417092
188	13.26112014
189	13.22831575
190	13.19654895
191	13.1715995
192	13.1230371
193	13.05199545
194	13.01089106
195	12.99137287
196	12.95000607
197	12.90295026
198	12.89591816
199	12.82476858
200	12.73754286
201	12.65855697
202	12.60113436
203	12.5877194
204	12.54710491
205	12.49198645
206	12.45936292
207	12.43636919
208	12.35847918
209	12.31380386
210	12.26955684
211	12.2301674
212	12.17405854
213	12.10619608
214	12.0772701
215	12.03702621
216	11.99689909
217	11.98659852
218	11.95236282
219	11.93428895
220	11.90796908
221	11.88504055
222	11.84699547
223	11.80327307
224	11.75367749
225	11.72156258
226	11.68527785
227	11.64761562
228	11.62178269
229	11.592145
230	11.55446807
231	11.5210549
232	11.50545281
233	11.47177526
234	11.44716344
235	11.39113114
236	11.34563885
237	11.29393862
238	11.28556579
239	11.25142815
240	11.18668005
241	11.17834732
242	11.11340334
243	11.07754715
244	11.02817481
245	10.98642035
246	10.94107842
247	10.89483201
248	10.84337445
249	10.803345
250	10.74577412
251	10.71150533
252	10.67336134
253	10.6166504
254	10.59048821
255	10.55772405
256	10.52982717
257	10.52334726
258	10.46985663
259	10.42325579
260	10.41323406
261	10.37798518
262	10.33793296
263	10.30596048
264	10.28925837
265	10.26674344
266	10.24323465
267	10.2363224
268	10.18761528
269	10.14055182
270	10.11126748
271	10.06842871
272	10.04459557
273	10.02004301
274	10.00063438
275	9.975381221
276	9.959168434
277	9.943542475
278	9.893053402
279	9.858040984
280	9.804466164
281	9.786532934
282	9.761552486
283	9.738721491
284	9.736464908
285	9.703219263
286	9.678866462
287	9.633332094
288	9.582671531
289	9.579983395
290	9.554635579
291	9.546867354
292	9.501592694
293	9.490760824
294	9.47437524
295	9.466236939
296	9.445385961
297	9.407493169
298	9.39300616
299	9.346045894
300	9.340692318
301	9.299698935
302	9.269133246
303	9.258488266
304	9.21440241
305	9.16233133
306	9.128710204
307	9.119021847
308	9.101609085
309	9.095163373
310	9.091471975
311	9.035667522
312	9.00208348
313	8.997490059
314	8.980416693
315	8.947482932
316	8.934646275
317	8.918294281
318	8.883553107
319	8.835780341
320	8.823693802
321	8.806333281
322	8.793700338
323	8.763975319
324	8.731188502
325	8.707044674
326	8.693324438
327	8.668257212
328	8.651077377
329	8.621143844
330	8.606622442
331	8.580442536
332	8.549175899
333	8.501965481
334	8.458841766
335	8.44291333
336	8.41939677
337	8.392644466
338	8.357723017
339	8.333628666
340	8.316230191
341	8.307488762
342	8.276314852
343	8.255692408
344	8.21462992
345	8.192704325
346	8.176905163
347	8.163339304
348	8.126846659
349	8.106292439
350	8.068756044
351	8.044362023
352	8.037697127
353	8.022956395
354	7.996058173
355	7.972129575
356	7.954805666
357	7.924828644
358	7.881558072
359	7.856778454
360	7.845297727
361	7.819554012
362	7.789468417
363	7.753755188
364	7.726874573
365	7.702385265
366	7.658723365
367	7.652439082
368	7.639108387
369	7.601227997
370	7.57997969
371	7.545832247
372	7.53740538
373	7.507995173
374	7.496989035
375	7.477318718
376	7.474419458
377	7.454632484
378	7.446510901
379	7.422832557
380	7.377947554
381	7.364122082
382	7.35425758
383	7.350821669
384	7.323516691
385	7.317194927
386	7.300891865
387	7.298872418
388	7.280364274
389	7.259652448
390	7.224545853
391	7.21621306
392	7.207768927
393	7.182242759
394	7.168521013
395	7.160504011
396	7.136923459
397	7.135029759
398	7.110849089
399	7.085977518
400	7.060520432
401	7.043421847
402	7.010139978
403	6.990741769
404	6.979928559
405	6.979106301
406	6.959798237
407	6.945605107
408	6.937552419
409	6.923049756
410	6.893562954
411	6.880385073
412	6.867027845
413	6.849699996
414	6.842593873
415	6.832236271
416	6.821081575
417	6.809235521
418	6.78863568
419	6.757626208
420	6.740789564
421	6.729053856
422	6.697280299
423	6.694087793
424	6.658164523
425	6.639405265
426	6.629313911
427	6.623605731
428	6.621835965
429	6.596473712
430	6.587074651
431	6.582455955
432	6.572157361
433	6.565634691
434	6.547622104
435	6.535531423
436	6.512000087
437	6.469204864
438	6.455641745
439	6.439781904
440	6.419982568
441	6.419128769
442	6.416683233
443	6.415368869
444	6.400659812
445	6.367888505
446	6.366667261
447	6.344757239
448	6.337174823
449	6.310061165
450	6.299694732
451	6.275094419
452	6.267642592
453	6.260091025
454	6.238783826
455	6.223337875
456	6.187254926
457	6.148294609
458	6.118521063
459	6.077846976
460	6.0696326
461	6.063713276
462	6.061610642
463	6.043853247
464	6.031564416
465	6.022881986
466	6.013339381
467	5.998367114
468	5.959094675
469	5.943763903
470	5.917903501
471	5.912727285
472	5.885464446
473	5.845062625
474	5.819011453
475	5.816993531
476	5.784662911
477	5.766357276
478	5.76527256
479	5.761282996
480	5.747341338
481	5.738095833
482	5.730510584
483	5.72697143
484	5.724978555
485	5.713821012
486	5.692313784
487	5.673637648
488	5.666155194
489	5.650164202
490	5.626476838
491	5.618209841
492	5.604111011
493	5.600028161
494	5.591046606
495	5.58170391
496	5.576055162
497	5.565249286
498	5.564269925
499	5.544387135
500	5.526718953
501	5.512727194
502	5.505738991
503	5.502791103
504	5.489337981
505	5.472661087
506	5.469713601
507	5.462004207
508	5.461222771
509	5.456559824
510	5.44638756
511	5.434436294
512	5.42778558
513	5.418073155
514	5.400972578
515	5.39019707
516	5.386097706
517	5.375390383
518	5.3545431
519	5.349707487
520	5.336848725
521	5.313072568
522	5.301749609
523	5.290973646
524	5.268537381
525	5.265133536
526	5.259145015
527	5.246831545
528	5.236082365
529	5.218615927
530	5.209470504
531	5.19629186
532	5.191345816
533	5.180828847
