iter	Passed	Remaining
0	53	42573
1	130	52210
2	196	52133
3	236	47093
4	324	51628
5	413	54701
6	503	57095
7	595	58967
8	705	62016
9	765	60502
10	857	61470
11	952	62524
12	1044	63206
13	1058	59446
14	1143	59862
15	1280	62741
16	1332	61379
17	1526	66334
18	1620	66606
19	1709	66652
20	1805	66983
21	1896	67068
22	1938	65502
23	2049	66265
24	2140	66355
25	2193	65289
26	2280	65292
27	2364	65204
28	2452	65196
29	2540	65204
30	2572	63825
31	2583	62014
32	2622	60945
33	2709	61037
34	2793	61060
35	2888	61295
36	2983	61521
37	3069	61552
38	3168	61827
39	3259	61924
40	3362	62252
41	3454	62344
42	3561	62697
43	3655	62800
44	3740	62754
45	3811	62478
46	3912	62685
47	4005	62753
48	4058	62205
49	4158	62384
50	4274	62783
51	4364	62775
52	4453	62763
53	4548	62840
54	4648	62965
55	4742	63006
56	4798	62555
57	4897	62656
58	4934	61975
59	5019	61911
60	5140	62277
61	5168	61516
62	5254	61474
63	5348	61507
64	5450	61633
65	5548	61704
66	5634	61648
67	5726	61644
68	5838	61852
69	5932	61867
70	5975	61356
71	6061	61284
72	6170	61454
73	6270	61518
74	6359	61474
75	6381	60788
76	6473	60783
77	6563	60749
78	6657	60762
79	6757	60813
80	6851	60818
81	6951	60866
82	7052	60920
83	7140	60861
84	7226	60790
85	7331	60866
86	7431	60902
87	7520	60843
88	7612	60811
89	7718	60887
90	7813	60878
91	7898	60786
92	8001	60827
93	8104	60870
94	8195	60818
95	8280	60724
96	8371	60669
97	8459	60596
98	8543	60496
99	8636	60454
100	8726	60396
101	8815	60323
102	8902	60242
103	8999	60228
104	9091	60174
105	9178	60090
106	9284	60134
107	9380	60104
108	9473	60056
109	9560	59970
110	9657	59945
111	9740	59834
112	9831	59771
113	9920	59696
114	10007	59608
115	10096	59533
116	10190	59486
117	10279	59413
118	10374	59368
119	10466	59309
120	10540	59147
121	10648	59177
122	10740	59118
123	10831	59049
124	10918	58960
125	11008	58888
126	11094	58792
127	11178	58684
128	11267	58607
129	11363	58566
130	11456	58507
131	11549	58448
132	11635	58353
133	11729	58297
134	11828	58267
135	11913	58167
136	11999	58070
137	12086	57982
138	12175	57900
139	12262	57810
140	12355	57746
141	12441	57651
142	12527	57555
143	12615	57469
144	12703	57382
145	12812	57394
146	12899	57300
147	12991	57231
148	13078	57140
149	13171	57075
150	13263	57007
151	13351	56918
152	13453	56891
153	13538	56793
154	13624	56696
155	13718	56632
156	13809	56556
157	13897	56468
158	13986	56384
159	14076	56304
160	14170	56243
161	14265	56180
162	14354	56095
163	14445	56020
164	14537	55946
165	14637	55906
166	14730	55834
167	14818	55747
168	14906	55658
169	15005	55610
170	15093	55517
171	15182	55434
172	15272	55351
173	15366	55283
174	15463	55227
175	15553	55145
176	15639	55048
177	15722	54941
178	15827	54908
179	15913	54813
180	16002	54726
181	16087	54626
182	16188	54579
183	16277	54494
184	16369	54416
185	16454	54317
186	16537	54211
187	16633	54147
188	16719	54052
189	16810	53970
190	16900	53886
191	16995	53820
192	17077	53711
193	17160	53605
194	17245	53505
195	17343	53445
196	17436	53372
197	17529	53297
198	17617	53207
199	17701	53105
200	17801	53051
201	17898	52987
202	17990	52907
203	18080	52822
204	18171	52742
205	18266	52671
206	18359	52594
207	18444	52494
208	18529	52395
209	18618	52310
210	18703	52209
211	18790	52117
212	18876	52022
213	18965	51933
214	19074	51899
215	19165	51816
216	19257	51737
217	19351	51663
218	19448	51597
219	19539	51514
220	19638	51452
221	19728	51364
222	19821	51287
223	19909	51194
224	19995	51100
225	20080	50999
226	20167	50907
227	20260	50828
228	20354	50753
229	20443	50665
230	20532	50574
231	20622	50490
232	20709	50396
233	20800	50312
234	20887	50218
235	20978	50134
236	21070	50054
237	21214	50094
238	21338	50086
239	21434	50012
240	21528	49935
241	21619	49848
242	21714	49772
243	21800	49677
244	21893	49595
245	21981	49502
246	22065	49401
247	22162	49329
248	22276	49293
249	22368	49210
250	22458	49122
251	22547	49031
252	22681	49038
253	22807	49027
254	22896	48935
255	22987	48848
256	23085	48775
257	23174	48684
258	23263	48592
259	23353	48503
260	23441	48409
261	23526	48309
262	23618	48224
263	23705	48128
264	23801	48051
265	23891	47962
266	23984	47878
267	24071	47784
268	24158	47687
269	24251	47604
270	24341	47516
271	24426	47415
272	24511	47316
273	24604	47234
274	24697	47150
275	24783	47053
276	24877	46971
277	24965	46878
278	25059	46795
279	25147	46702
280	25235	46609
281	25321	46511
282	25407	46415
283	25495	46322
284	25584	46231
285	25702	46192
