iter	Passed	Remaining
0	83	66539
1	172	68775
2	267	71122
3	363	72413
4	417	66356
5	501	66374
6	593	67179
7	685	67870
8	699	61475
9	780	61690
10	817	58645
11	909	59737
12	991	60009
13	1021	57330
14	1044	54675
15	1076	52763
16	1107	51032
17	1226	53287
18	1350	55492
19	1497	58419
20	1600	59379
21	1623	57421
22	1710	57783
23	1799	58194
24	1814	56258
25	1877	55881
26	1966	56313
27	1990	54893
28	2081	55339
29	2181	55982
30	2257	56006
31	2342	56229
32	2434	56591
33	2535	57113
34	2624	57366
35	2667	56618
36	2757	56858
37	2852	57193
38	2948	57533
39	3034	57657
40	3096	57315
41	3182	57430
42	3268	57546
43	3329	57206
44	3418	57362
45	3485	57132
46	3551	56891
47	3637	56989
48	3729	57160
49	3815	57238
50	3911	57445
51	4002	57574
52	4099	57784
53	4165	57544
54	4256	57660
55	4434	58918
56	4589	59827
57	4681	59890
58	4774	59964
59	4865	60009
60	4961	60105
61	5047	60080
62	5138	60117
63	5228	60128
64	5323	60199
65	5356	59569
66	5446	59590
67	5541	59649
68	5576	59076
69	5617	58587
70	5702	58552
71	5796	58604
72	5883	58591
73	5908	57967
74	5994	57943
75	6088	57997
76	6184	58065
77	6282	58153
78	6375	58182
79	6471	58242
80	6573	58352
81	6665	58360
82	6751	58321
83	6844	58337
84	6937	58352
85	7036	58418
86	7123	58376
87	7217	58396
88	7309	58392
89	7410	58456
90	7506	58481
91	7598	58475
92	7686	58430
93	7782	58451
94	7816	58005
95	7907	57989
96	7998	57965
97	8040	57597
98	8127	57548
99	8214	57498
100	8260	57171
101	8344	57103
102	8435	57085
103	8527	57066
104	8620	57059
105	8652	56652
106	8740	56606
107	8835	56613
108	8934	56638
109	9024	56605
110	9114	56576
111	9209	56572
112	9300	56541
113	9400	56569
114	9495	56561
115	9591	56554
116	9618	56147
117	9705	56093
118	9808	56128
119	9902	56115
120	9998	56109
121	10090	56078
122	10191	56095
123	10285	56071
124	10381	56059
125	10473	56024
126	10564	55982
127	10651	55922
128	10741	55874
129	10831	55821
130	10916	55748
131	11011	55724
132	11099	55662
133	11190	55618
134	11277	55549
135	11372	55523
136	11471	55517
137	11575	55526
138	11666	55479
139	11759	55439
140	11850	55386
141	11941	55336
142	12030	55273
143	12117	55199
144	12215	55180
145	12302	55106
146	12392	55050
147	12491	55029
148	12602	55062
149	12701	55039
150	12812	55066
151	12913	55050
152	13014	55033
153	13117	55025
154	13218	55007
155	13307	54935
156	13409	54919
157	13515	54919
158	13604	54845
