iter	RMSE
0	101.697669
1	98.14104761
2	94.32059563
3	90.69878847
4	86.9950341
5	83.35793846
6	80.19074965
7	77.16668619
8	74.0381213
9	71.19901183
10	68.39764519
11	66.30760941
12	63.87823571
13	61.4966183
14	59.26222148
15	57.01032457
16	54.97745935
17	53.39380077
18	51.64281383
19	50.12132123
20	48.5454175
21	47.07352053
22	45.70748993
23	44.49801677
24	43.27348894
25	42.09996394
26	40.99249995
27	39.88591279
28	38.86794467
29	37.96540206
30	37.02697757
31	36.19444777
32	35.520877
33	34.74982591
34	34.09614809
35	33.35238726
36	32.6913629
37	32.0768417
38	31.53568752
39	30.96592387
40	30.42314652
41	29.96496123
42	29.53438931
43	29.12431901
44	28.68359928
45	28.30439978
46	27.9559691
47	27.54836776
48	27.18993026
49	26.82694267
50	26.46375919
51	26.13224508
52	25.85589776
53	25.58466942
54	25.30552843
55	25.05688841
56	24.83598737
57	24.61009279
58	24.30620397
59	24.0377616
60	23.83931328
61	23.64128005
62	23.46157046
63	23.25785793
64	23.0030842
65	22.86391362
66	22.64595847
67	22.4561433
68	22.3657441
69	22.252611
70	22.08978086
71	21.90954181
72	21.77810245
73	21.69578418
74	21.53710691
75	21.41833334
76	21.29081343
77	21.12533399
78	20.98197754
79	20.8296464
80	20.66705173
81	20.5250187
82	20.40348581
83	20.33029675
84	20.19334385
85	20.07652296
86	19.99381174
87	19.87521608
88	19.79360337
89	19.70664079
90	19.59417127
91	19.50068175
92	19.42421346
93	19.29718086
94	19.26016632
95	19.1767259
96	19.06295259
97	19.02946217
98	18.90742354
99	18.83607176
100	18.78388575
101	18.68379628
102	18.58741841
103	18.50374962
104	18.42407236
105	18.39675277
106	18.32954416
107	18.21977677
108	18.12133861
109	18.05595945
110	17.98129314
111	17.89707629
112	17.83812623
113	17.7582529
114	17.69136278
115	17.63166493
116	17.62195165
117	17.53166041
118	17.43342537
119	17.36134255
120	17.31244819
121	17.24068367
122	17.12812232
123	17.03504085
124	16.97727959
125	16.89490428
126	16.82428959
127	16.76469682
128	16.69667804
129	16.65078105
130	16.58172683
131	16.52174032
132	16.47967855
133	16.41567519
134	16.38174519
135	16.31395794
136	16.27583037
137	16.20784646
138	16.15685236
139	16.09174114
140	16.02810642
141	15.968547
142	15.91238993
143	15.86061058
144	15.81115166
145	15.74817449
146	15.70428341
147	15.67116074
148	15.61178171
149	15.55772115
150	15.50466968
151	15.49428832
152	15.42734424
153	15.39715847
154	15.37442759
155	15.33492006
156	15.29709327
157	15.23843393
158	15.16774525
159	15.14927389
160	15.07929369
161	15.05722046
162	15.03172909
163	14.96917486
164	14.9015101
165	14.87313273
166	14.79899319
